dataset,branch,fold,feature,spatial_mode,window,train_effect,test_effect,same_sign
B1,denoised,1,8,lateral,250_500,0.34696449757828884,0.4053395024067855,True
B1,denoised,1,9,lateral,500_750,0.26944974514771763,0.5127312314426777,True
B1,baseline,2,1,common,50_250,0.12331711542717287,-0.9215188488701672,False
B1,baseline,2,2,common,250_500,0.024849180880840357,-1.2059703559058477,False
B1,baseline,2,3,common,500_750,0.005236104831332534,-0.9535096970006984,False
B1,baseline,2,4,midline,50_250,-0.10014371655672667,0.7392382643236044,False
B1,baseline,2,5,midline,250_500,-0.11894647749517671,0.7739838622949625,False
B1,baseline,2,6,midline,500_750,-0.1384922014658467,0.8149346027759574,False
B1,baseline,2,7,lateral,50_250,0.19214926989330394,0.9270010304389399,True
B1,baseline,2,8,lateral,250_500,0.17588703214515514,0.8546047610091898,True
B1,baseline,2,9,lateral,500_750,0.1598582578876659,0.7249292142778032,True
B1,denoised,2,1,common,50_250,0.11974396816351653,-0.7950601769978742,False
B1,denoised,2,2,common,250_500,-0.0021272221232103857,-1.1194919921516402,True
B1,denoised,2,3,common,500_750,-0.0133194982341896,-0.8311464216426317,True
B1,denoised,2,4,midline,50_250,-0.10561074911361058,0.7399775356765279,False
B1,denoised,2,5,midline,250_500,-0.12217915115215144,0.7745794879054813,False
B1,denoised,2,6,midline,500_750,-0.1442839723619179,0.811297277242168,False
B1,denoised,2,7,lateral,50_250,0.21026978293502227,0.9241697824246891,True
B1,denoised,2,8,lateral,250_500,0.18587211678511475,0.8425695046559817,True
B1,denoised,2,9,lateral,500_750,0.1675477864845093,0.7074827637733712,True
B1,baseline,3,1,common,50_250,-0.3142927992309499,0.862446315157954,False
B1,baseline,3,2,common,250_500,-0.4454810426553447,0.7693652329576983,False
B1,baseline,3,3,common,500_750,-0.3451116601662452,0.5942644320694495,False
B1,baseline,3,4,midline,50_250,0.08667715055262237,0.14653015040948913,True
B1,baseline,3,5,midline,250_500,0.07328787192096704,0.09275286476827617,True
B1,baseline,3,6,midline,500_750,0.065701421110495,0.11045313187805789,True
B1,baseline,3,7,lateral,50_250,0.4400149544487608,-0.021199930635631692,False
B1,baseline,3,8,lateral,250_500,0.43373039610871367,-0.11612292820934399,False
B1,baseline,3,9,lateral,500_750,0.3965135805954306,-0.25006452499006726,False
B1,denoised,3,1,common,50_250,-0.2981990328260018,0.8620039488407252,False
B1,denoised,3,2,common,250_500,-0.4591296225049894,0.7736279382229021,False
B1,denoised,3,3,common,500_750,-0.3350188766125515,0.5998356853800952,False
B1,denoised,3,4,midline,50_250,0.07845816798463315,0.1766642582449518,True
B1,denoised,3,5,midline,250_500,0.06753040859391705,0.11865465428665965,True
B1,denoised,3,6,midline,500_750,0.05777884391410574,0.12853967911132835,True
B1,denoised,3,7,lateral,50_250,0.4457100698351575,0.0027804406695434705,True
B1,denoised,3,8,lateral,250_500,0.4321752978900876,-0.09690366094900679,False
B1,denoised,3,9,lateral,500_750,0.39151766585888714,-0.24158425992959207,False
B1,baseline,4,1,common,50_250,-0.05806782277215709,0.3535828511580925,False
B1,baseline,4,2,common,250_500,-0.16385420456361238,0.1300473347309026,False
B1,baseline,4,3,common,500_750,-0.08411941384889403,-0.24229274200766732,True
B1,baseline,4,4,midline,50_250,0.1735906992538568,-0.605002672733444,False
B1,baseline,4,5,midline,250_500,0.14418414665984422,-0.5159655327049184,False
B1,baseline,4,6,midline,500_750,0.10004310146785546,-0.04920911233236009,False
B1,baseline,4,7,lateral,50_250,0.39537907544631756,1.4168445383773047,True
B1,baseline,4,8,lateral,250_500,0.37720304351826023,1.3154872422148907,True
B1,baseline,4,9,lateral,500_750,0.343550431473979,0.42716014081787423,True
B1,denoised,4,1,common,50_250,-0.041562401721886674,0.3480044693216492,False
B1,denoised,4,2,common,250_500,-0.16580172669384333,0.08546012366906934,False
B1,denoised,4,3,common,500_750,-0.06638183389615579,-0.26702264627135863,True
B1,denoised,4,4,midline,50_250,0.1689665841073005,-0.605111795968426,False
B1,denoised,4,5,midline,250_500,0.13975325136361746,-0.5167365950915166,False
B1,denoised,4,6,midline,500_750,0.09093122504851507,-0.06575777135060239,False
B1,denoised,4,7,lateral,50_250,0.39605936929129004,1.4139475905132073,True
B1,denoised,4,8,lateral,250_500,0.37439233905719693,1.3120349735190706,True
B1,denoised,4,9,lateral,500_750,0.34106804491382625,0.4269057953331861,True
B2,baseline,0,1,common,50_250,0.2988276667325678,-0.05384794914009624,False
B2,baseline,0,2,common,250_500,0.3663225392188693,-0.1409883859183337,False
B2,baseline,0,3,common,500_750,0.42755416583532774,-0.25118407069755444,False
B2,baseline,0,4,midline,50_250,-0.4059349508055218,0.05784637732588742,False
B2,baseline,0,5,midline,250_500,-0.46275464418501144,0.16219528045846632,False
B2,baseline,0,6,midline,500_750,-0.5290956319377431,0.27715552267589083,False
B2,baseline,0,7,lateral,50_250,0.18487155762060983,-0.3191902534550667,False
B2,baseline,0,8,lateral,250_500,0.016506259957812235,-0.2514521407475814,False
B2,baseline,0,9,lateral,500_750,-0.09405392086162088,-0.32861189827300463,True
B2,denoised,0,1,common,50_250,0.29301259436673494,-0.0500801966254187,False
B2,denoised,0,2,common,250_500,0.3602267762295347,-0.14792163932694125,False
B2,denoised,0,3,common,500_750,0.4298442768346424,-0.2408384159563643,False
B2,denoised,0,4,midline,50_250,-0.4093088442423859,0.061877230764642493,False
B2,denoised,0,5,midline,250_500,-0.47243159352339004,0.18158102749323923,False
B2,denoised,0,6,midline,500_750,-0.5413778182319837,0.2824527720269278,False
B2,denoised,0,7,lateral,50_250,0.2054969768356878,-0.32105682926973544,False
B2,denoised,0,8,lateral,250_500,0.031180347547051013,-0.2509717154254535,False
B2,denoised,0,9,lateral,500_750,-0.08642709583963294,-0.30675346828825506,True
B2,baseline,1,1,common,50_250,0.3107113573890094,0.21329910762840334,True
B2,baseline,1,2,common,250_500,0.31360110608009417,0.48190324030245474,True
B2,baseline,1,3,common,500_750,0.28396371576232127,0.7938994549469028,True
B2,baseline,1,4,midline,50_250,-0.3126900194624311,-0.5804206990953326,True
B2,baseline,1,5,midline,250_500,-0.27808225525589236,-0.8787384095008902,True
B2,baseline,1,6,midline,500_750,-0.2561426367175177,-1.0899337999717185,True
B2,baseline,1,7,lateral,50_250,-0.04271367382249278,0.5661804512535942,False
B2,baseline,1,8,lateral,250_500,-0.21529426321974526,0.547798350758439,False
