dataset,trial_id,block,truth,common_50_250,common_250_500,common_500_750,midline_50_250,midline_250_500,midline_500_750,lateral_50_250,lateral_250_500,lateral_500_750
A1,37,1,-1,0.7081716861282348,0.42954973300482197,0.6374893228579447,-0.32936714428727476,-0.41686032469438206,-0.48418672151437275,0.6123138205685015,1.196123432148378,1.0630357237230441
A1,44,2,1,0.22441456467670678,0.2547837112396133,0.1615751372517151,-0.13777634459556698,-0.11911142751899452,-0.15281189173937829,0.08015504585598751,-0.12804513337141327,-0.16359189231118723
A1,45,2,-1,0.4236080715129051,0.35286824239768655,0.44089480604732384,-0.42739550801796533,-0.45530044060077474,-0.43461308061707915,-0.7074725790583277,-0.693289914172873,-0.8835072279219861
A1,47,2,-1,-0.06976596037707689,0.06995748982225629,0.17830755268457638,0.10334402989203058,0.02814504899443058,-0.05001683054805453,0.3460341629475165,0.49315714342776334,0.5725085187079128
A1,48,2,1,0.3813999060065412,0.31881562079414705,0.3817124890705971,-0.1512947688473489,-0.17508715759847543,-0.19132955250746744,0.15891488457150624,-0.007608116835117016,0.14720763250675514
A1,49,2,-1,-0.46689886574891165,-0.24847864770599892,-0.035730088285211466,0.10064100899686974,0.10781800025268452,0.0511705688855375,0.3563216360646312,0.36645582785081665,0.08829507071703883
A1,50,2,-1,-0.23526524373416755,-0.49081790351582527,-0.4174500620733302,0.38065572011469834,0.42192150826192965,0.4349905508035674,2.7076253151552123,1.9719272588043117,1.5619533450784375
A1,51,2,1,1.614016314067445,1.0579472886889605,0.288377466970504,-1.4197799079125895,-0.7902162194633686,-0.19714744397204073,-0.9875468518242697,-0.8745184205907882,-0.6840750505289489
A1,52,2,1,3.9436014020300405,4.1067458427262675,4.043318377219201,-3.9208580805732978,-4.088317693591791,-4.1744831338299555,-0.9411507857905912,-1.9424981420734824,-2.090198787154149
A1,53,2,1,2.5126824007409057,2.6471286409464136,2.4004301550790075,-2.851070936259177,-2.912216083103348,-2.721481396444679,1.479251459949353,1.155480401353014,0.7670564036029237
A1,54,2,-1,1.933486313302989,1.9270761955645472,1.7953161945380605,-2.3835695716299274,-2.330447472005013,-2.0609052497061082,-3.688216462658928,-3.6351440031865176,-2.8688217183180935
A1,55,2,1,-0.3469069448647793,-0.21702345649345606,-0.24935216843434374,0.3453994551490895,0.3458602956076752,0.3954860299305711,-0.09179650735363029,1.1842773745112016,1.2512736306836685
A1,56,2,-1,0.6865872090988347,0.8062775589220936,1.1702133771310637,-0.47701753861521656,-0.6938654279555126,-0.8906766010157746,0.500899960975214,1.2143948856635565,1.0301125037170669
A1,57,2,-1,0.27644995833516656,0.3302569071381472,1.0114644639147428,-0.1643531409340921,-0.08961107093853499,-0.08565165152159777,-0.9933628911598175,-0.9305153162957875,-0.9596524900744793
A1,64,3,1,-0.11052524002030935,-0.1228539702879275,-0.5094965183837965,0.2675046117340663,0.3309060554144241,0.46506645006486064,-1.5791999170836652,-1.0370000914868043,-0.05370238111859333
A1,65,3,-1,0.21690942605696656,0.28456055911563083,0.3351434290850662,-0.11624018843881669,-0.16960524390576937,-0.14109319053917932,0.27815577575752365,0.35075213026415014,0.4543587638723237
