fold,split,contrast_RMSE,S_delta,delta_energy,weighted_MSE,dataset,stage,variant,negative_R2,mean_R2,weighted_contrast_MSE
2,test,131.4416576223276,-1.4685634205891125,3779336.182242524,5418.584739797633,A2,independent,original,3,-3.007398976035424,16119.593311418534
2,train,10.447986533290127,0.9669068726306976,1781234.7423706492,118.84683040010503,A2,independent,same_kernel_no_ridge,0,0.9544448383100829,117.4664162308707
2,test,138.19108988167693,-1.7285902224584198,3779336.182242524,5771.67184099587,A2,independent,same_kernel_no_ridge,4,-3.8044029787353764,17813.26140908685
2,train,10.80947264170217,0.9645773036834284,1781234.7423706492,144.72751241006858,A2,independent,same_kernel_equal_direction_penalty,0,0.9428357516318834,125.43964338214754
2,test,136.8724080387414,-1.6767638010048915,3779336.182242524,5757.343517895672,A2,independent,same_kernel_equal_direction_penalty,3,-3.4702434505191664,17474.628423810682
2,train,6.625928733427189,0.9866903656831363,1781234.7423706492,71.09101743132337,A2,independent,same_kernel_plus_affine,0,0.9638587674483571,41.605165161709884
2,test,137.48504315313298,-1.7007795911359254,3779336.182242524,5564.284583344699,A2,independent,same_kernel_plus_affine,3,-3.391765622970297,17717.302825135364
2,train,6.503833655328349,0.9871763560111466,1781234.7423706492,286.4680711066477,A2,independent,affine_only,0,0.8448933418552892,40.61432135172465
2,test,136.90062079106497,-1.677867407763515,3779336.182242524,5602.257450061723,A2,independent,affine_only,3,-3.2852130093952083,17584.49863398026
2,oracle_not_prediction,18.87460453559716,0.9490981043320547,3779336.182242524,524.7453232816575,A2,independent,test_oracle_same_span,1,0.6537174265482618,385.5906969826536
2,oracle_not_prediction,9.341936194502875,0.9875304141962823,3779336.182242524,45.98984515505367,A2,independent,test_oracle_span_plus_affine,0,0.9325336858718837,90.40860586707674
3,train,10.70456842983648,0.9075164339358086,669063.7772589768,173.57313472587873,A2,independent,original,0,0.9327365381569955,120.96732354357113
3,test,27.35927073048471,0.5100386192568909,824975.2962878224,1031.560994975875,A2,independent,original,2,-0.8022854645773888,705.375714628885
3,train,8.221804225979916,0.9454417408398199,669063.7772589768,144.50951829804964,A2,independent,same_kernel_no_ridge,0,0.9446110153239852,74.46062187581997
3,test,24.273230684759277,0.6143369935021803,824975.2962878224,1021.7290006920058,A2,independent,same_kernel_no_ridge,2,-0.7427404957341103,562.1135633282051
3,train,8.295702417127119,0.9444565858986549,669063.7772589768,162.34191182917866,A2,independent,same_kernel_equal_direction_penalty,0,0.9360063856058686,76.04243195677147
3,test,24.71606040312153,0.6001369155127809,824975.2962878224,1000.5280203229132,A2,independent,same_kernel_equal_direction_penalty,2,-0.6344170392842524,581.2438160170364
3,train,4.243867535391153,0.9854638337541821,669063.7772589768,47.834480445208236,A2,independent,same_kernel_plus_affine,0,0.9765163752213968,18.693409683014675
3,test,25.699766051549517,0.5676741980502522,824975.2962878224,974.5127989439947,A2,independent,same_kernel_plus_affine,2,-0.7153761137987488,642.6964323929602
3,train,5.2938430717683325,0.9773812621047971,669063.7772589768,213.34734007756094,A2,independent,affine_only,0,0.8911360995453,29.322527467752707
3,test,24.07355054271992,0.620656093941294,824975.2962878224,1177.3727462297545,A2,independent,affine_only,2,-0.8041484172167405,573.1618693693034
3,oracle_not_prediction,7.60391568361147,0.9621533537414168,824975.2962878224,236.6100019170366,A2,independent,test_oracle_same_span,0,0.8262916796101227,58.446259939728485
3,oracle_not_prediction,6.4344313211023865,0.9728997588526203,824975.2962878224,128.92402724686528,A2,independent,test_oracle_span_plus_affine,0,0.893148389677559,40.34239990501221
4,train,5.6103070055917135,0.8552277871841256,117403.7047979118,149.64264081173414,A2,independent,original,0,0.9254367144289347,32.87287737789297
4,test,143.6836873365794,0.13171186721352102,12839402.800320053,7432.892627509299,A2,independent,original,2,-0.40873744275340096,19265.4869372385
4,train,4.658107058598009,0.900199919929076,117403.7047979118,129.10831952173274,A2,independent,same_kernel_no_ridge,0,0.9369804281242017,23.083221641249015
4,test,141.9353778298496,0.15271356711637762,12839402.800320053,7072.476115449096,A2,independent,same_kernel_no_ridge,2,-0.4013167010379463,18800.328894737755
4,train,4.687455857313861,0.8989383603854153,117403.7047979118,147.2876539699371,A2,independent,same_kernel_equal_direction_penalty,0,0.9262896547149602,23.45293001070513
4,test,142.2440138362437,0.1490247416538556,12839402.800320053,7337.044197132068,A2,independent,same_kernel_equal_direction_penalty,2,-0.3781814339168676,18882.09321572956
4,train,3.5524263780961687,0.9419553588662418,117403.7047979118,54.784615305725076,A2,independent,same_kernel_plus_affine,0,0.969495064961548,12.679897816173318
4,test,142.07792644416844,0.15101081816885376,12839402.800320053,7031.9833995912495,A2,independent,same_kernel_plus_affine,2,-0.4308578151756309,18822.604985870963
4,train,4.107493058800812,0.922399300781398,117403.7047979118,218.7317037207704,A2,independent,affine_only,0,0.874695233568897,17.133254758053127
4,test,141.95233379991944,0.15251111693447428,12839402.800320053,7374.592020035318,A2,independent,affine_only,2,-0.5502656489784726,18789.64481520684
4,oracle_not_prediction,24.473017146261267,0.97481024375665,12839402.800320053,348.4323659447643,A2,independent,test_oracle_same_span,0,0.9480317029310411,637.2926479830181
4,oracle_not_prediction,8.648371955804746,0.9968542974412014,12839402.800320053,82.8082914985928,A2,independent,test_oracle_span_plus_affine,0,0.9774299206445821,74.09937311956195
0,train,22.574278735164775,0.38426531855973245,446918.0653902606,560.0825018667787,B1,independent,original,3,-0.12521897026415232,499.1301985007173
0,test,53.33508545679116,0.020676817533417435,1568533.1987138507,3049.34001042813,B1,independent,original,6,-21.371866010817318,2715.146499121133
0,train,11.689841890501684,0.8348862944597603,446918.0653902606,258.1232678356026,B1,independent,same_kernel_no_ridge,0,0.42307118484229694,150.6403282630639
0,test,56.30102920168626,-0.09127124727412039,1568533.1987138507,4062.031475496875,B1,independent,same_kernel_no_ridge,6,-39.326175483813735,3018.8324960969894
0,train,13.265278749585589,0.7873826942276418,446918.0653902606,482.0336100625257,B1,independent,same_kernel_equal_direction_penalty,4,-0.014340090025057484,186.93463128370323
0,test,54.80654852393806,-0.034105744352541656,1568533.1987138507,3086.544713028708,B1,independent,same_kernel_equal_direction_penalty,5,-25.221934999162414,2863.9653095234285
0,train,17.717399933451915,0.6207148608571099,446918.0653902606,241.15520256435556,B1,independent,same_kernel_plus_affine,0,0.3380136557956122,307.65629288640895
0,test,53.47866445715235,0.015397009504472647,1568533.1987138507,3679.2322490670654,B1,independent,same_kernel_plus_affine,6,-28.5478216393673,2729.8888841728344
0,train,21.270302187314737,0.4533451952493961,446918.0653902606,308.1867733845711,B1,independent,affine_only,1,0.17450638817013697,435.8363232448327
