dataset,fold,trial_id,cue,leave_one_out_ERP_change_RMS,condition_ERP_RMS,PTP
A2,1,25,-1,11.045826731422844,61.05668599854245,325.9034764336142
A2,1,26,-1,3.3055492188715627,61.05668599854245,211.12596691957577
A2,1,27,1,21.374645391434967,102.05400175052006,556.0014830341481
A2,1,28,1,5.256790956585931,102.05400175052006,295.40674111077374
A2,1,29,1,33.664375943587984,102.05400175052006,658.3463738718774
A2,1,31,-1,16.11208612546325,61.05668599854245,192.5026943393985
A2,1,32,-1,6.735696618865661,61.05668599854245,178.86274536006783
A2,1,34,-1,6.4397049884951745,61.05668599854245,231.83272428876026
A2,1,35,-1,8.614025737649365,61.05668599854245,236.97589415237314
A2,1,36,1,23.070581582804824,102.05400175052006,99.44861689180095
A2,1,37,1,19.030163780905454,102.05400175052006,329.7595182824382
A2,2,44,-1,23.577428741124457,130.95505306393804,233.136182415694
A2,2,46,-1,7.17812273650153,130.95505306393804,377.35217124118964
A2,2,47,-1,14.599792440207942,130.95505306393804,171.158579566823
A2,2,48,-1,32.852773623930396,130.95505306393804,203.11576161926195
A2,2,49,1,29.091090797567947,64.84011674114578,523.7187071093758
A2,2,50,1,41.83188087873149,64.84011674114578,629.7927873622123
A2,2,51,-1,37.70388215913339,130.95505306393804,821.4591127808973
A2,2,52,1,25.930377503708215,64.84011674114578,444.73417249606445
A2,2,53,1,5.5164953934698255,64.84011674114578,198.756553054045
A2,2,54,-1,24.32869144680373,130.95505306393804,652.5260789554691
A2,2,55,-1,15.939201989248087,130.95505306393804,656.264836951739
A2,2,56,1,31.175966831680967,64.84011674114578,544.123191094227
A2,2,57,1,25.348610985654513,64.84011674114578,233.28733062753247
A2,3,64,-1,26.023156386930975,51.88387600314655,469.5609080603256
A2,3,65,1,22.044074222310122,81.22276958363446,265.05025487110646
A2,3,66,-1,19.66830886272425,51.88387600314655,177.22994467022042
A2,3,67,1,33.772042109269336,81.22276958363446,606.9908215270785
A2,3,68,1,18.74828492958727,81.22276958363446,175.16194678159326
A2,3,69,-1,8.372954982487757,51.88387600314655,101.86596446947506
A2,3,70,-1,12.269848440374503,51.88387600314655,397.2155507234304
A2,3,71,1,14.16925261057059,81.22276958363446,157.05788326720585
A2,3,72,1,29.244704204554843,81.22276958363446,512.7344761488073
A2,3,73,1,15.33478550740209,81.22276958363446,200.95059838207786
A2,3,74,1,7.470784671271895,81.22276958363446,284.756670963486
A2,3,75,-1,5.51586808867276,51.88387600314655,285.69216040083177
A2,3,76,-1,14.323935716404053,51.88387600314655,120.68894557319356
A2,3,77,-1,4.421381028342923,51.88387600314655,267.520702109146
A2,4,84,-1,9.743046917915862,59.29384399261474,367.15896382857363
A2,4,85,1,43.84867785452188,187.97014608678293,458.1012541159693
A2,4,87,-1,28.398249945597975,59.29384399261474,798.1009825866528
A2,4,88,1,79.89903462822987,187.97014608678293,850.6975532469974
A2,4,89,-1,8.067452474752773,59.29384399261474,386.7008176821251
A2,4,90,-1,24.11449653934834,59.29384399261474,704.4519935621714
A2,4,91,-1,5.897348140180538,59.29384399261474,78.25762315662439
A2,4,92,-1,5.913201222395931,59.29384399261474,289.3182222765821
A2,4,93,1,50.86746315635331,187.97014608678293,342.99571510540864
A2,4,94,-1,43.70103418834399,59.29384399261474,916.6582988597229
A2,4,95,-1,11.360205592578335,59.29384399261474,312.77556337042677
A2,4,96,-1,6.834748685531,59.29384399261474,285.6058103928855
A2,4,97,-1,4.509144915413131,59.29384399261474,172.96327296882734
A2,4,98,-1,14.75841972622438,59.29384399261474,311.07260492057117
A2,4,99,-1,3.161858510298238,59.29384399261474,182.28833987100435
B1,0,2,-1,5.029645834607501,9.725257618822845,120.05746548482936
B1,0,3,1,6.817527751030809,51.53662904525885,116.78282811452601
B1,0,4,-1,9.625010771269917,9.725257618822845,195.61647367058796
B1,0,5,1,54.67603842089153,51.53662904525885,766.769724936941
B1,0,6,1,18.120137269426298,51.53662904525885,501.9262591920678
B1,0,7,1,9.857613878189591,51.53662904525885,67.01525322921785
B1,0,8,-1,5.61581788176418,9.725257618822845,137.72851987572363
