dataset,fold,trial_id,cue,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9
B1,2,46,-1,-74.9880002161735,106.28295365652752,176.29991490050634,104.0283980879528,-139.39580920200666,-234.330511910551,0.8734714613221604,38.191972265107935,51.1253448064905,-2.525716419163482,2.7176953305019045,3.5288429660715006,1.8706692139895038,-2.1226179305574013,-3.200849340816762,0.2472215436822656,1.9300815388471448,2.0736738580100647
B1,2,47,-1,37.04856933354865,82.91311432233233,103.23862127286469,-11.60550292856387,-0.6961376354153054,4.092291711659022,-197.2735653230753,-235.4297238770279,-244.21034911289618,1.4632625046903973,2.0619490496099147,1.9295119294568472,-0.1520049213174024,0.07495158293065496,0.14890013222965565,-10.767428214261049,-10.46945622616974,-8.89897860023406
B1,2,48,1,-62.32874053669293,85.93416646480983,144.01884187254078,39.95099581180882,-68.80270036399224,-109.86072702577057,43.666840294926736,-61.189235394389954,-101.03046780386691,-2.0749928718789477,2.146718297634299,2.8222017416227074,0.7498240024879074,-1.0041346487113918,-1.4520963272893497,2.6260306205877098,-2.5735124921861514,-3.5793944491715353
B1,2,49,1,5.718271212884442,3.9212349339548895,3.5068667935748143,-22.27795529159103,-36.608623945836676,-41.39303772042916,-14.001998615661549,-2.967062694544606,0.5371381419978564,0.3477704882562127,-0.1545245165478298,-0.2536425474906395,-0.3386880061672919,-0.4940489358012777,-0.4901514013556442,-0.5796800115553415,0.0649041221822276,0.19416243543606107
B1,2,50,-1,27.699739971665547,76.83028533020318,95.41673125161645,-204.56082820239254,-287.77964299866085,-313.23487531158776,-34.766149759675685,-17.256266659013914,-10.570906812282406,1.1304043724114758,1.891267838162552,1.75828868860205,-3.52718938080699,-4.473624142489555,-4.309425557974643,-1.733923123558936,-0.5826305093457791,-0.21853646714609204
B1,2,51,1,-35.718030316960785,-15.866505482540457,-7.530411907509598,100.51351156658517,138.9724031628525,150.95794390837474,6.2960483902078686,25.133298238530514,31.875446281986836,-1.1275382805619127,-0.7097588508458237,-0.49525149677061364,1.809186638440196,2.287871943771414,2.212306541266357,0.5486531806447169,1.338310038134424,1.358479417532107
B1,2,52,-1,-29.009644910137734,-18.607107786126704,-10.853044299423987,17.115035029790487,33.35154728104143,38.8652098645535,-10.32251566809839,-28.349066674244373,-34.663488062443754,-0.8886911960032402,-0.786658813326571,-0.5679847984109148,0.35037620367954747,0.614406028151381,0.6374463723095785,-0.37514394270748086,-1.0853157665747248,-1.113651843725624
B1,2,53,1,-7.073074880839577,2.513480799844117,6.900017332814371,0.5855484159878097,2.1679176242816913,2.8372878114861084,-4.749916492966923,-1.4432710030891476,-0.004849533008820003,-0.10765589779482558,-0.19402541018481437,-0.17936558495875202,0.061241574909522,0.12032992054721833,0.13126780600327367,-0.06537282954032128,0.13395680656587403,0.17402588398988433
B1,2,55,1,-31.164598370894616,71.31616013983442,114.41604244727742,109.57024795964246,24.514259052250257,-9.545169333633437,34.13832684109678,97.76431421258884,119.08360035354772,-0.9654167149243655,1.7365441777107515,2.174188634534908,1.9676075365634305,0.47438727414752385,-0.04270099507922562,2.096357100806605,4.629682901396184,4.5985373781978325
B1,2,56,-1,2.7630457207549637,57.463477657965754,80.8660032748143,36.38480463024993,38.77555967806652,38.916104911927505,21.819918869657915,15.165478648034757,12.033481940808267,0.24255187748726642,1.3478446711389906,1.4397694056388968,0.6874440031876292,0.7003445466053404,0.6381614283173581,1.4115981885222302,0.8866047925714998,0.6212878647086523
B1,2,57,1,-24.948802820744664,5.063096871078221,20.963882797738577,-8.897350838137463,-10.290169432827385,-10.737330033408162,10.862045588724015,4.71363761902712,1.9718246911048176,-0.7441079266940285,-0.1224844281307421,0.1284961488816196,-0.10463378586638604,-0.07705708119444603,-0.0594503983040312,0.8024690375637838,0.41296545994411926,0.24746556544704176
B1,3,64,-1,21.529588241701042,52.993501074871475,59.00050552756233,14.472839206723448,18.176588126035902,19.48748856491659,-15.181200287029569,-16.560891910519768,-16.836086537162835,1.0040957154578236,1.0650469352833591,0.7079181511314837,0.17738095740308524,0.34288359867772394,0.35919149003499007,-0.3554530487891508,-0.340419074298558,-0.3110806004309366
B1,3,65,-1,-27.348217568816754,-23.431170183440127,-25.033450153355894,22.30085921149023,39.18432989235255,44.94674473878012,-22.809003294072816,-39.03164907002879,-45.248930983727824,-0.7117735029320778,-1.0658369589035896,-1.0005337631335753,0.2991739209706358,0.6199775525483908,0.6478357466037037,-0.6026782604931458,-0.9251813419719753,-0.95844832325979
B1,3,66,-1,-44.63657908141852,-115.49059120287576,-141.42475650259215,-85.00494281746609,-94.04740942854073,-94.3975739122766,-50.54181678000277,-93.61745607213072,-108.01614299251663,-1.3186863310338388,-3.6326512392745567,-3.3668266327826553,-1.3703531917783345,-1.1373607582587877,-0.9319801360535052,-1.501528254243065,-2.3456817754353425,-2.3885574129309552
B1,3,67,1,-10.11132190703262,-34.73970848661361,-42.79525256231998,-36.401973888300624,-23.40138642837281,-17.393334296948204,13.137591300445713,5.6833934414086675,1.9758468146303296,-0.10666739810178606,-1.38114328263747,-1.361639997875337,-0.6141594645701736,-0.20553352732139768,-0.05894475180596317,0.5623891187327816,0.2384496595333047,0.11753676235587188
B1,3,68,1,-15.04158282021002,21.224478923844558,37.34141531418152,1.1621984944052977,-15.523133955636506,-21.80294141321538,9.477179964199111,-11.338038171890924,-19.819506631327855,-0.2797456040332722,0.17925839970847635,0.2675781262397062,-0.029713860743641966,-0.10161868718555499,-0.10893866204210402,0.4437512925210043,-0.20450341403631522,-0.3790558387508349
B1,3,69,-1,8.841586560980218,-17.81090088975059,-27.443167416768276,-93.93658714198052,-19.368818949830292,11.589973325309396,18.904914895256262,35.478380858462316,41.0741578932907,0.5586798223789365,-0.9091317860617237,-1.0495245078647468,-1.509316995032733,-0.15234360908510128,0.2696534297118957,0.7493142130719935,1.013812246722508,1.0083657202607363
B1,3,70,-1,31.5784915918367,24.817282363531245,21.70742119120173,-37.05243914430346,-58.21101972461325,-64.59442284935332,22.923992598496742,-0.2773290279002462,-9.554515417044929,1.3568653140751694,0.27943347221525167,-0.05026871282178744,-0.6242797876120244,-0.6646756393169251,-0.5940869814689698,0.8795767978714387,0.08333225234571656,-0.14517485581208125
